examples,label
"You start an online course in digital marketing, aiming to become a social media strategist.",1
She wrote every day with the hope of seeing her work published in a major literary magazine.,1
"You write in your journal every night, documenting your journey and plans for publishing a memoir one day.",1
He worked two jobs while attending night school in order to provide a better future for his family.,1
"I spend my Sundays trying out new recipes in the kitchen, enjoying the trial and error of creating something delicious.",0
"I often find myself lost in thought, my mind wandering through a maze of personal reflections and daydreams.",0
"You started investing in stocks early, planning to become financially independent by 40.",1
"He loves playing the piano, losing himself in the melodies and harmonies that bring him peace.",0
"He loves spending his weekends birdwatching, the quiet observation of wildlife offering a serene escape.",0
"She practiced yoga for hours each morning, aiming to become a certified instructor.",1
"She values keeping a scrapbook, preserving memories and moments with photos and mementos.",0
"He took up carpentry, with the vision of building custom furniture and eventually opening a workshop.",1
"She worked overtime to care for her family, aiming to save enough for her children's education.",1
"She went back to school for a nursing degree, aiming to provide better care for her community.",1
"She joined a public speaking club to improve her oratory skills, hoping to lead workshops.",1
"He often spends time playing fetch with his dog, their bond growing stronger with each game.",0
They practiced coding for hours every evening with the goal of becoming a software developer at a top tech company.,1
"She balanced a full-time job with evening classes in law school, having set her sights on a career in law.",1
"I find joy in experimenting with new dance routines, expressing myself through movement.",0
